event_idx,load_mw,critical_event,selector_time_ms,surrogate_time_ms,baseline_ctrl_ms,droop_ctrl_ms,proposed_ctrl_ms,nr_time_ms,cycle_time_ms,deadline_miss,surrogate_vm_pu,raw_vm_ref_pu,converged,base_vm_ref_pu,droop_vm_ref_pu,prop_vm_ref_pu,p_base_mw,p_droop_mw,p_prop_mw
66,0.17941,False,0.000166997779160738,0.002082990249618888,8.297502063214779e-05,0.00012500095181167126,8.399365469813347e-05,0.0,0.0028329959604889154,False,0.999246478,,True,,,,0.17941,0.17941,0.17941
67,0.05,False,0.00012500095181167126,0.0019170111045241356,8.399365469813347e-05,0.00012497184798121452,4.1996827349066734e-05,0.0,0.002540997229516506,False,0.99979,,True,,,,0.05,0.05,0.05
68,0.029,False,0.00012500095181167126,0.0019169820006936789,8.399365469813347e-05,0.00012500095181167126,4.1996827349066734e-05,0.0,0.002540997229516506,False,0.9998782,,True,,,,0.029,0.029,0.029
69,0.052,False,0.00012500095181167126,0.0018329883459955454,0.00012500095181167126,0.00012500095181167126,4.1996827349066734e-05,0.0,0.0024999899324029684,False,0.9997816,,True,,,,0.052,0.052,0.052
70,0.077,False,0.00012500095181167126,0.00200001522898674,8.40227585285902e-05,4.1996827349066734e-05,8.300412446260452e-05,0.0,0.002583983587101102,False,0.9996766,,True,,,,0.077,0.077,0.077
71,0.2,False,0.00012500095181167126,0.0019580184016376734,8.300412446260452e-05,8.300412446260452e-05,8.300412446260452e-05,0.0,0.0025840126909315586,False,0.99916,,True,,,,0.2,0.2,0.2
72,0.05195,False,0.00016600824892520905,0.0019169820006936789,4.1996827349066734e-05,8.300412446260452e-05,4.100729711353779e-05,0.0,0.0024999899324029684,False,0.99978181,,True,,,,0.05195,0.05195,0.05195
73,0.05286,False,0.00012500095181167126,0.0019160215742886066,8.300412446260452e-05,8.300412446260452e-05,8.300412446260452e-05,0.0,0.002500019036233425,False,0.999777988,,True,,,,0.05286,0.05286,0.05286
74,0.246,False,0.00012500095181167126,0.0018330174498260021,8.399365469813347e-05,8.399365469813347e-05,4.1996827349066734e-05,0.0,0.002374988980591297,False,0.9989668,,True,,,,0.246,0.246,0.246
75,0.133,False,0.00012500095181167126,0.0017499842215329409,4.1996827349066734e-05,8.399365469813347e-05,8.300412446260452e-05,0.0,0.002249988028779626,False,0.9994414,,True,,,,0.133,0.133,0.133
76,0.313,False,0.00012500095181167126,0.0018330174498260021,8.399365469813347e-05,8.399365469813347e-05,8.399365469813347e-05,0.0,0.0024579931050539017,False,0.9986854,,True,,,,0.313,0.313,0.313
77,0.28,False,0.00012500095181167126,0.0019579892978072166,0.00012500095181167126,0.00012500095181167126,0.00012500095181167126,0.0,0.0026249908842146397,False,0.998824,,True,,,,0.28,0.28,0.28
78,0.04158,True,0.00012500095181167126,0.0019170111045241356,8.300412446260452e-05,8.300412446260452e-05,0.00029199873097240925,4.751707980176434,4.754624998895451,False,0.999825364,0.938394522004679,True,0.938394522004679,0.938394522004679,0.938394522004679,0.04158,0.04158,0.04158
79,0.06,False,0.00037497375160455704,0.003583001671358943,0.0002500019036233425,0.000166997779160738,0.000166997779160738,0.0,0.004791974788531661,False,0.999748,,True,,,,0.06,0.06,0.06
80,0.05205,False,0.0002499727997928858,0.0024580222088843584,0.00012500095181167126,0.00012500095181167126,8.300412446260452e-05,0.0,0.003207998815923929,False,0.99978139,,True,,,,0.05205,0.05205,0.05205
81,0.028,False,0.000166997779160738,0.0022909953258931637,8.300412446260452e-05,0.00012500095181167126,8.300412446260452e-05,0.0,0.0029999937396496534,False,0.9998824,,True,,,,0.028,0.028,0.028
82,0.002,False,0.000166997779160738,0.002082990249618888,8.300412446260452e-05,0.00012500095181167126,8.399365469813347e-05,0.0,0.0027919886633753777,False,0.9999916,,True,,,,0.002,0.002,0.002
83,0.08,False,0.000166997779160738,0.0021249870769679546,0.00012500095181167126,0.00012500095181167126,8.300412446260452e-05,0.0,0.00291600008495152,False,0.999664,,True,,,,0.08,0.08,0.08
84,0.0688,False,0.00012500095181167126,0.002040993422269821,0.00012500095181167126,0.00012500095181167126,8.297502063214779e-05,0.0,0.0026669877115637064,False,0.99971104,,True,,,,0.0688,0.0688,0.0688
85,0.0502,False,0.00012500095181167126,0.0019590079318732023,8.399365469813347e-05,8.399365469813347e-05,4.1996827349066734e-05,0.0,0.002541986759752035,False,0.99978916,,True,,,,0.0502,0.0502,0.0502
86,0.1005,False,0.00012500095181167126,0.0019170111045241356,0.00012500095181167126,0.00012500095181167126,8.399365469813347e-05,0.0,0.0026249908842146397,False,0.9995779,,True,,,,0.1005,0.1005,0.1005
87,0.013,False,0.00012500095181167126,0.001834006980061531,8.399365469813347e-05,0.00012500095181167126,4.1996827349066734e-05,0.0,0.0024579931050539017,False,0.9999454,,True,,,,0.013,0.013,0.013
88,0.009,False,8.297502063214779e-05,0.0017499842215329409,8.300412446260452e-05,0.00012500095181167126,8.300412446260452e-05,0.0,0.002334010787308216,False,0.9999622,,True,,,,0.009,0.009,0.009
89,0.022,False,8.300412446260452e-05,0.0018329883459955454,4.1996827349066734e-05,0.00012500095181167126,8.40227585285902e-05,0.0,0.0024170149117708206,False,0.9999076,,True,,,,0.022,0.022,0.022
90,0.003,False,0.00012500095181167126,0.0018339778762310743,8.399365469813347e-05,8.399365469813347e-05,4.1996827349066734e-05,0.0,0.002416985807940364,False,0.9999874,,True,,,,0.003,0.003,0.003
91,0.014,False,0.00012500095181167126,0.0018749851733446121,8.300412446260452e-05,0.00012500095181167126,8.300412446260452e-05,0.0,0.0023329921532422304,False,0.9999412,,True,,,,0.014,0.014,0.014
92,0.005,False,8.300412446260452e-05,0.0017500133253633976,8.300412446260452e-05,0.00012500095181167126,0.00012500095181167126,0.0,0.002375018084421754,False,0.999979,,True,,,,0.005,0.005,0.005
