event_idx,load_mw,critical_event,selector_time_ms,surrogate_time_ms,baseline_ctrl_ms,droop_ctrl_ms,proposed_ctrl_ms,nr_time_ms,cycle_time_ms,deadline_miss,surrogate_vm_pu,raw_vm_ref_pu,converged,base_vm_ref_pu,droop_vm_ref_pu,prop_vm_ref_pu,p_base_mw,p_droop_mw,p_prop_mw
0,0.308,False,0.0012920063454657793,0.007416994776576757,0.0007910130079835653,0.0006250047590583563,0.000166997779160738,0.0,0.010957999620586634,False,0.9987064,,True,,,,0.308,0.308,0.308
1,0.308,False,0.0006250047590583563,0.0034580007195472717,0.00037500285543501377,0.00029199873097240925,0.00020797597244381905,0.0,0.005499983672052622,False,0.9987064,,True,,,,0.308,0.308,0.308
2,0.1,True,0.00029199873097240925,0.002500019036233425,0.00016702688299119473,0.000166997779160738,0.00100000761449337,5.343249998986721,5.347750004148111,False,0.99958,0.9517390467874474,True,0.9517390467874474,0.9517390467874474,0.9517390467874474,0.1,0.1,0.1
3,0.26667,False,0.0004580069798976183,0.004875008016824722,0.0004159810487180948,0.00020797597244381905,8.300412446260452e-05,0.0,0.006457994459196925,False,0.998879986,,True,,,,0.26667,0.26667,0.26667
4,0.016,True,0.00020800507627427578,0.002749991836026311,0.00012500095181167126,0.000166997779160738,0.0008330098353326321,5.046665988629684,5.051291984273121,False,0.9999328,0.9341579451658019,True,0.9341579451658019,0.9341579451658019,0.9341579451658019,0.016,0.016,0.016
5,0.245,True,0.0004169996827840805,0.0047079811338335276,0.00029098009690642357,0.000166997779160738,0.0002910092007368803,4.811666993191466,4.8180419835262,False,0.998971,0.9725991163778895,True,0.9725991163778895,0.9725991163778895,0.9725991163778895,0.245,0.245,0.245
6,0.005,True,0.0004159810487180948,0.00404199818149209,0.00029199873097240925,0.00020800507627427578,0.0002910092007368803,4.8027920129243284,4.808541998500004,False,0.999979,1.028189698853087,True,1.028189698853087,1.028189698853087,1.028189698853087,0.005,0.005,0.005
7,0.004,False,0.0004169996827840805,0.0040000013541430235,0.00020800507627427578,0.00020800507627427578,8.300412446260452e-05,0.0,0.005375011824071407,False,0.9999832,,True,,,,0.004,0.004,0.004
8,0.016,False,0.00020800507627427578,0.002707995008677244,0.00016702688299119473,0.00012500095181167126,0.00012500095181167126,0.0,0.0036249984987080097,False,0.9999328,,True,,,,0.016,0.016,0.016
9,0.004,False,0.00020800507627427578,0.0024580222088843584,0.00012500095181167126,0.00012500095181167126,8.40227585285902e-05,0.0,0.0032920215744525194,False,0.9999832,,True,,,,0.004,0.004,0.004
10,0.001,False,0.00012500095181167126,0.0021250161807984114,0.00012500095181167126,8.40227585285902e-05,8.40227585285902e-05,0.0,0.0027919886633753777,False,0.9999958,,True,,,,0.001,0.001,0.001
11,0.171,False,0.000166997779160738,0.002208020305261016,0.00012500095181167126,0.00012497184798121452,0.00012500095181167126,0.0,0.00291600008495152,False,0.9992818,,True,,,,0.171,0.171,0.171
12,0.012,False,0.000166997779160738,0.0019999861251562834,0.00012500095181167126,0.00012500095181167126,8.300412446260452e-05,0.0,0.002749991836026311,False,0.9999496,,True,,,,0.012,0.012,0.012
13,0.002,False,0.000166997779160738,0.0018750142771750689,8.300412446260452e-05,0.00012500095181167126,8.399365469813347e-05,0.0,0.0025830231606960297,False,0.9999916,,True,,,,0.002,0.002,0.002
14,0.186,False,0.0001659791450947523,0.0019590079318732023,0.00012500095181167126,8.399365469813347e-05,8.399365469813347e-05,0.0,0.0026249908842146397,False,0.9992188,,True,,,,0.186,0.186,0.186
15,0.14196999999999999,False,0.000166997779160738,0.0019169820006936789,8.300412446260452e-05,8.300412446260452e-05,8.300412446260452e-05,0.0,0.002541986759752035,False,0.999403726,,True,,,,0.14196999999999999,0.14196999999999999,0.14196999999999999
16,0.07881,False,0.00012500095181167126,0.0018749851733446121,8.399365469813347e-05,8.399365469813347e-05,8.399365469813347e-05,0.0,0.0024579931050539017,False,0.999668998,,True,,,,0.07881,0.07881,0.07881
17,0.09497,False,0.00012500095181167126,0.0018330174498260021,8.399365469813347e-05,8.399365469813347e-05,4.1996827349066734e-05,0.0,0.002415996277704835,False,0.999601126,,True,,,,0.09497,0.09497,0.09497
18,0.1,False,0.00012500095181167126,0.0017919810488820076,4.1996827349066734e-05,0.00012500095181167126,4.1996827349066734e-05,0.0,0.0023339816834777594,False,0.99958,,True,,,,0.1,0.1,0.1
19,0.043,False,0.00012500095181167126,0.0018749851733446121,8.297502063214779e-05,0.00012500095181167126,4.1996827349066734e-05,0.0,0.0024999899324029684,False,0.9998194,,True,,,,0.043,0.043,0.043
20,0.2,False,0.00012500095181167126,0.0019170111045241356,8.40227585285902e-05,8.40227585285902e-05,4.202593117952347e-05,0.0,0.0024590117391198874,False,0.99916,,True,,,,0.2,0.2,0.2
21,0.2,False,0.000166997779160738,0.0022910244297236204,8.300412446260452e-05,8.399365469813347e-05,0.00012500095181167126,0.0,0.002874992787837982,False,0.99916,,True,,,,0.2,0.2,0.2
22,0.089,False,0.00012500095181167126,0.0017920101527124643,8.300412446260452e-05,8.300412446260452e-05,8.300412446260452e-05,0.0,0.002374988980591297,False,0.9996262,,True,,,,0.089,0.089,0.089
23,0.167,False,0.00012500095181167126,0.0017920101527124643,8.297502063214779e-05,8.40227585285902e-05,4.1996827349066734e-05,0.0,0.0022500171326100826,False,0.9992986,,True,,,,0.167,0.167,0.167
24,0.217,False,8.297502063214779e-05,0.0017079873941838741,8.300412446260452e-05,8.399365469813347e-05,4.1996827349066734e-05,0.0,0.0021669839043170214,False,0.9990886,,True,,,,0.217,0.217,0.217
25,0.241,False,0.00012500095181167126,0.0018330174498260021,8.300412446260452e-05,8.300412446260452e-05,4.1996827349066734e-05,0.0,0.0024170149117708206,False,0.9989878,,True,,,,0.241,0.241,0.241
26,0.093,False,0.00012500095181167126,0.0018749851733446121,8.399365469813347e-05,4.1996827349066734e-05,8.300412446260452e-05,0.0,0.0024589826352894306,False,0.9996094,,True,,,,0.093,0.093,0.093
27,0.24,False,0.00012500095181167126,0.0018750142771750689,8.399365469813347e-05,8.399365469813347e-05,0.00012500095181167126,0.0,0.002500019036233425,False,0.998992,,True,,,,0.24,0.24,0.24
28,0.098,False,8.297502063214779e-05,0.0017919810488820076,0.00012500095181167126,4.1996827349066734e-05,8.300412446260452e-05,0.0,0.0022919848561286926,False,0.9995884,,True,,,,0.098,0.098,0.098
29,0.156,False,8.40227585285902e-05,0.001667009200900793,4.1996827349066734e-05,8.300412446260452e-05,4.100729711353779e-05,0.0,0.002207991201430559,False,0.9993448,,True,,,,0.156,0.156,0.156
30,0.281,False,8.300412446260452e-05,0.0017090060282498598,4.1996827349066734e-05,0.00012500095181167126,8.300412446260452e-05,0.0,0.002209009835496545,False,0.9988198,,True,,,,0.281,0.281,0.281
31,0.05167,True,8.300412446260452e-05,0.0017090060282498598,4.1996827349066734e-05,8.300412446260452e-05,0.00029098009690642357,4.717207979410887,4.719666991150007,False,0.999782986,0.9346724599000366,True,0.9346724599000366,0.9346724599000366,0.9346724599000366,0.05167,0.05167,0.05167
32,0.35278,True,0.00020800507627427578,0.0036669953260570765,0.00020899460650980473,0.000333995558321476,0.00029199873097240925,4.931165982270613,4.9363329890184104,False,0.998518324,1.0033023681699107,True,1.0033023681699107,1.0033023681699107,1.0033023681699107,0.35278,0.35278,0.35278
33,0.028,True,0.0004580069798976183,0.004542001988738775,0.00029199873097240925,0.00020899460650980473,0.000333995558321476,4.764457989949733,4.770792002091184,False,0.9998824,0.9495248923969446,True,0.9495248923969446,0.9495248923969446,0.9495248923969446,0.028,0.028,0.028
34,0.101,False,0.00041601015254855156,0.004125002305954695,0.0002500019036233425,0.0002500019036233425,0.00012500095181167126,0.0,0.005500012775883079,False,0.9995758,,True,,,,0.101,0.101,0.101
35,0.023,False,0.00020800507627427578,0.002749991836026311,0.00012500095181167126,0.00012500095181167126,8.300412446260452e-05,0.0,0.0036249984987080097,False,0.9999034,,True,,,,0.023,0.023,0.023
36,0.254,True,8.300412446260452e-05,0.002415996277704835,0.00012500095181167126,0.00012500095181167126,0.000333995558321476,4.690208006650209,4.693625000072643,False,0.9989332,1.0275384425135319,True,1.0275384425135319,1.0275384425135319,1.0275384425135319,0.254,0.254,0.254
37,0.19288,False,0.00037500285543501377,0.0036249984987080097,0.00020800507627427578,0.00020899460650980473,0.00012500095181167126,0.0,0.0048749789129942656,False,0.999189904,,True,,,,0.19288,0.19288,0.19288
38,0.184,False,0.0002500019036233425,0.0024999899324029684,0.00012500095181167126,8.300412446260452e-05,8.300412446260452e-05,0.0,0.0032919924706220627,False,0.9992272,,True,,,,0.184,0.184,0.184
