experiment,n_events,n_critical,n_violations,n_solver_failures,sampled_fn_rate,estimated_recall,nr_calls_critical_path,median_latency_ms,p95_latency_ms,p99_latency_ms,deadline_miss_rate,r_load_vs_voltage,r_redispatch_vs_voltage
E1_fixed,20586,4055,0,0,0.0,,4055,7.269041991094127,8.03491710103117,8.590168280643411,0.0014796547472256474,,0.9998500798415091
E2_synthetic,20586,4055,239,0,0.086,0.14391816295389923,4055,7.1890420076670125,8.035562392615248,9.318732135870963,0.0034525277435265103,-0.9945375559641497,0.05625741894356583
E3_simbench_iid,20586,4055,0,0,0.0,,4055,7.094458997016773,7.8961205945233806,8.654266356606968,0.0007398273736128237,-0.9907753825343838,0.11922669580279625
E4_simbench_timeseries,20586,4055,0,0,0.0,,4055,7.0983750047162175,7.890708299237303,8.377316819678526,0.0012330456226880395,-0.990946686839026,0.09774699242357143
